shann_herbivore,simp_predator,simp_herbivore,Vertical,trentment,Dose-sen_predat,Dose-sen_herbiv,sen_predat-sen_herbi,sen_herbi-chllo_a,chllo_a-EC,chllo_a-DO,chllo_a-Insen_herbi,sen_predat-Insen_herbi,sen_herbi-Insen_predat,Insen_herbi-Insen_predat
0.5234913,0.5009437,0.2221602,3,0.1,-146.3636,-3244.9401,-138.7765,-30.1037,-0.0009,-0.0002,0.0848,-38.7765,-0.0002,-0.0006
0.5234913,0.5009437,0.2221602,3,0.9,-174.899,-3439.0965,-162.2577,-502.23,0,0,-0.0198,-62.2577,0.01,0.02
0.5234913,0.5009437,0.2221602,3,6,-220.3258,-3800.0965,-149.9495,10.0021,-0.0006,0.003,0.2156,-49.9495,0.012,-0.0008
0.5234913,0.5009437,0.2221602,3,44,-256.3636,-4239.0965,-163.429,-665.09,-0.0025,0.002,0.4503,-63.429,0.02,0.0011
2.542919,0.4600194,0.8887178,3,0.9,-141.8889,-2639.0965,-52.2577,-20.0091,0,0.0012,0.00025,-22.2577,0.03,0.0068
1.623683,0,0.7426203,2,0.005,NA,-1139.0965,NA,-16.6092,0.0001,0.001,0.00012,NA,NA,NA
1.623683,0,0.7426203,2,0.05,NA,-1239.0965,NA,-17.2083,0.0011,0.0011,0.0011,NA,NA,NA
1.623683,0,0.7426203,2,0.5,NA,-1739.0965,NA,-19.486,0.0001,0.001,0.0002,NA,NA,NA
1.623683,0,0.7426203,2,5,NA,-2303.1835,NA,-19.7953,0.0009,0.0012,0.0261,NA,NA,NA
1.240081,0.3448856,0.5888434,3,0.1,-102.8571,-2329.0965,4.147,-50.65,-0.0005,0,-0.0013,4.147,-0.0877,0.01
1.240081,0.3448856,0.5888434,3,1,-120.9286,-2229.0965,25.6322,-35.76,-0.0004,0,-0.0011,25.6322,0.0145,0.1706
1.240081,0.3448856,0.5888434,3,10,-150.1357,-2539.0965,29.51,-42.1841,-0.0004,0.001,0.0001,29.51,-0.0993,0.0776
1.240081,0.3448856,0.5888434,3,100,-100.0107,-2803.1835,-0.3494,-68.4311,-0.0003,0,0.0058,-0.3494,-0.0628,0.0512
1.474327,0,0.6928023,2,0.01,NA,-1237.0965,NA,82.3915,0.0013,-0.0001,-0.0006,NA,NA,NA
1.474327,0,0.6928023,2,0.1,NA,-1337.0965,NA,-260.0461,0.0006,0,0.0005,NA,NA,NA
1.474327,0,0.6928023,2,1,NA,-1939.0965,NA,-262.0461,-0.0001,0.0011,0.00054,NA,NA,NA
1.474327,0,0.6928023,2,10,NA,-2503.1835,NA,-629.6227,-0.0001,0,0.0005,NA,NA,NA
0.6815307,0,0.6731008,2,0.01,NA,-1539.0965,NA,-180.1917,0,0,0.0473,NA,NA,NA
0.6815307,0,0.6731008,2,0.1,NA,-2139.0965,NA,-151.2605,0,0,0.0121,NA,NA,NA
0.6815307,0,0.6731008,2,1,NA,-2703.1835,NA,-437.1927,0.0001,0,-0.0177,NA,NA,NA
0.7266359,0,0.5263332,2,0.01,NA,-1839.0965,NA,-18.1531,-0.0002,0,0.00015,NA,NA,NA
0.7266359,0,0.5263332,2,0.1,NA,-2539.0965,NA,-151.2605,0,0,0.0121,NA,NA,NA
0.7266359,0,0.5263332,2,1,NA,-2833.1835,NA,-137.1927,0,0,-0.0177,NA,NA,NA
